n,media,ic_low,ic_high
264,0.8909204545454542,0.8888349537031403,0.8930059553877682
265,0.8908792452830185,0.8888000816533431,0.892958408912694
266,0.8907744360902252,0.8886928848615214,0.892855987318929
267,0.8908127340823967,0.8887376588136487,0.8928878093511446
268,0.8908880597014922,0.8888154641323083,0.8929606552706761
269,0.8909553903345722,0.888886298052386,0.8930244826167584
270,0.8908851851851849,0.8888191763369502,0.8929511940334196
271,0.8910147601476012,0.8889406751362017,0.8930888451590007
272,0.8909816176470585,0.8889141764369762,0.8930490588571408
273,0.8910073260073257,0.8889468840137135,0.8930677680009379
274,0.8910985401459851,0.8890378264244729,0.8931592538674973
275,0.891043636363636,0.8889876201019331,0.893099652625339
276,0.891083333333333,0.8890333229022943,0.8931333437643717
277,0.8910252707581224,0.8889795115436319,0.893071029972613
278,0.8910287769784169,0.8889904106146356,0.8930671433421982
279,0.8911039426523294,0.8890675446792072,0.8931403406254516
280,0.8910821428571425,0.8890526088332888,0.8931116768809961
281,0.8910889679715299,0.8890666562221285,0.8931112797209313
282,0.8910035460992904,0.888981446243438,0.8930256459551429
283,0.8910070671378088,0.8889921441642703,0.8930219901113472
284,0.8910457746478869,0.889036544459682,0.8930550048360918
285,0.8910175438596487,0.8890146353080578,0.8930204524112396
286,0.8911468531468527,0.8891348264967155,0.8931588797969899
287,0.8911602787456442,0.8891551306559524,0.893165426835336
288,0.8911909722222219,0.8891919150990826,0.8931900293453612
289,0.8912214532871968,0.889228451434421,0.8932144551399727
290,0.8911310344827582,0.8891369887244797,0.8931250802410368
291,0.8910756013745701,0.8890854558269781,0.8930657469221621
292,0.8911198630136982,0.8891346610493005,0.8931050649780958
293,0.8911467576791805,0.8891676630701384,0.8931258522882226
294,0.8911734693877547,0.8892004453926583,0.893146493382851
295,0.8911796610169487,0.8892133265940424,0.893145995439855
296,0.8911959459459455,0.8892360312011215,0.8931558606907696
297,0.8911952861952859,0.889242008387833,0.8931485640027388
298,0.8911812080536909,0.8892343256672467,0.8931280904401352
299,0.8911906354515047,0.8892502132472329,0.8931310576557765
300,0.8911899999999997,0.8892560826552246,0.8931239173447748
301,0.8911196013289033,0.8891871734221004,0.8930520292357063
302,0.8909337748344367,0.8889733738645208,0.8928941758043526
303,0.8909801980198016,0.8890241694003935,0.8929362266392096
304,0.8908848684210523,0.8889263060992181,0.8928434307428865
305,0.8909639344262292,0.8890056395197737,0.8929222293326847
306,0.8908529411764704,0.8888889002019463,0.8928169821509945
307,0.890889250814332,0.8889303398928443,0.8928481617358197
308,0.8909675324675324,0.8890089506131313,0.8929261143219334
309,0.8910064724919093,0.889052761373633,0.8929601836101857
310,0.8908967741935484,0.8889374743512717,0.8928560740358251
311,0.89091961414791,0.888966132222642,0.892873096073178
312,0.8909583333333335,0.8890096573590957,0.8929070093075714
313,0.8909552715654953,0.8890128463489256,0.8928976967820649
314,0.8909203821656052,0.8889829604347408,0.8928578038964696
315,0.8909174603174603,0.8889862142416598,0.8928487063932609
316,0.8908860759493671,0.8889599846754036,0.8928121672233306
317,0.8908675078864352,0.8889471781241262,0.8927878376487443
318,0.8908018867924528,0.8888832796164845,0.892720493968421
319,0.8908369905956112,0.888923183759348,0.8927507974318744
320,0.890821875,0.8889138492592075,0.8927299007407925
321,0.890822429906542,0.8889203797807863,0.8927244800322978
322,0.8907981366459627,0.8889014228701946,0.8926948504217309
323,0.8907832817337462,0.8888922456359135,0.8926743178315789
324,0.8907222222222222,0.8888332303662413,0.8926112140782031
325,0.890876923076923,0.8889693395125391,0.8927845066413069
326,0.8907760736196318,0.888864051171251,0.8926880960680127
327,0.8907308868501528,0.8888226706834709,0.8926391030168347
328,0.8907317073170731,0.8888293387706533,0.8926340758634929
329,0.8907477203647416,0.8888509027918703,0.8926445379376129
330,0.8907545454545454,0.8888634581725672,0.8926456327365235
331,0.890728096676737,0.8888420346120403,0.8926141587414338
332,0.8907650602409638,0.8888833031956921,0.8926468172862355
333,0.8907357357357356,0.88885877222105,0.8926126992504212
334,0.8906526946107783,0.8887742636219104,0.8925311255996463
335,0.8907194029850746,0.888842016565472,0.8925967894046771
336,0.8907767857142856,0.8889016150482093,0.892651956380362
337,0.8907863501483679,0.8889166775815273,0.8926560227152086
338,0.8907633136094674,0.8888986501533661,0.8926279770655686
339,0.8908761061946902,0.8890037796843882,0.8927484327049922
340,0.8908794117647058,0.8890126086838839,0.8927462148455276
341,0.8909208211143692,0.8890577388975951,0.8927839033311433
342,0.8910116959064326,0.8891455087775797,0.8928778830352855
343,0.8911516034985422,0.8892706453573914,0.8930325616396929
344,0.891171511627907,0.8892956400415569,0.893047383214257
345,0.8911884057971013,0.8893177035330847,0.893059108061118
346,0.8912485549132947,0.8893795382264126,0.8931175716001768
347,0.891293948126801,0.8894282069828301,0.8931596892707718
348,0.8914051724137929,0.8895320014034428,0.893278343424143
349,0.8914412607449855,0.8895721353145095,0.8933103861754615
350,0.8915142857142855,0.889645001152963,0.893383570275608
351,0.8915584045584043,0.8896924530983072,0.8934243560185013
352,0.8916079545454543,0.8897447796933297,0.8934711293975789
353,0.8917082152974501,0.8898399094679305,0.8935765211269698
