rep,t,S,I,R
74,54.52228319901246,599,0,401
74,54.85473614534791,599,0,401
74,55.18718909168335,599,0,401
74,55.519642038018794,599,0,401
74,55.85209498435423,599,0,401
74,56.184547930689675,599,0,401
74,56.51700087702512,599,0,401
74,56.84945382336056,599,0,401
74,57.181906769696,599,0,401
74,57.51435971603144,599,0,401
74,57.84681266236689,599,0,401
74,58.17926560870233,599,0,401
74,58.51171855503777,599,0,401
74,58.84417150137321,599,0,401
74,59.176624447708654,599,0,401
74,59.50907739404409,599,0,401
74,59.841530340379535,599,0,401
74,60.17398328671498,599,0,401
74,60.50643623305042,599,0,401
74,60.83888917938586,599,0,401
74,61.1713421257213,599,0,401
74,61.50379507205675,599,0,401
74,61.83624801839219,599,0,401
74,62.16870096472763,599,0,401
74,62.50115391106307,599,0,401
74,62.833606857398514,599,0,401
74,63.16605980373396,599,0,401
74,63.498512750069395,599,0,401
74,63.83096569640484,599,0,401
74,64.16341864274028,599,0,401
74,64.49587158907572,599,0,401
74,64.82832453541117,599,0,401
74,65.1607774817466,599,0,401
74,65.49323042808204,599,0,401
74,65.8256833744175,599,0,401
74,66.15813632075293,599,0,401
74,66.49058926708837,599,0,401
74,66.82304221342382,599,0,401
74,67.15549515975925,599,0,401
74,67.4879481060947,599,0,401
74,67.82040105243014,599,0,401
74,68.15285399876558,599,0,401
74,68.48530694510103,599,0,401
74,68.81775989143647,599,0,401
74,69.1502128377719,599,0,401
74,69.48266578410735,599,0,401
74,69.81511873044279,599,0,401
74,70.14757167677823,599,0,401
74,70.48002462311368,599,0,401
74,70.81247756944911,599,0,401
74,71.14493051578457,599,0,401
74,71.47738346212,599,0,401
74,71.80983640845544,599,0,401
74,72.14228935479089,599,0,401
74,72.47474230112633,599,0,401
74,72.80719524746176,599,0,401
74,73.13964819379721,599,0,401
74,73.47210114013265,599,0,401
74,73.8045540864681,599,0,401
74,74.13700703280354,599,0,401
74,74.46945997913897,599,0,401
74,74.80191292547443,599,0,401
74,75.13436587180986,599,0,401
74,75.4668188181453,599,0,401
74,75.79927176448075,599,0,401
74,76.13172471081619,599,0,401
74,76.46417765715162,599,0,401
74,76.79663060348707,599,0,401
74,77.12908354982251,599,0,401
74,77.46153649615796,599,0,401
74,77.7939894424934,599,0,401
74,78.12644238882883,599,0,401
74,78.45889533516429,599,0,401
74,78.79134828149972,599,0,401
74,79.12380122783516,599,0,401
74,79.45625417417061,599,0,401
74,79.78870712050605,599,0,401
74,80.12116006684148,599,0,401
74,80.45361301317693,599,0,401
74,80.78606595951237,599,0,401
74,81.11851890584782,599,0,401
74,81.45097185218326,599,0,401
74,81.7834247985187,599,0,401
74,82.11587774485415,599,0,401
74,82.44833069118958,599,0,401
74,82.78078363752502,599,0,401
74,83.11323658386047,599,0,401
74,83.4456895301959,599,0,401
74,83.77814247653136,599,0,401
74,84.1105954228668,599,0,401
74,84.44304836920223,599,0,401
74,84.77550131553768,599,0,401
74,85.10795426187312,599,0,401
74,85.44040720820855,599,0,401
74,85.772860154544,599,0,401
74,86.10531310087944,599,0,401
74,86.43776604721488,599,0,401
74,86.77021899355033,599,0,401
74,87.10267193988577,599,0,401
74,87.43512488622122,599,0,401
74,87.76757783255665,599,0,401
74,88.10003077889209,599,0,401
74,88.43248372522754,599,0,401
74,88.76493667156298,599,0,401
74,89.09738961789841,599,0,401
74,89.42984256423387,599,0,401
74,89.7622955105693,599,0,401
74,90.09474845690475,599,0,401
74,90.42720140324019,599,0,401
74,90.75965434957563,599,0,401
74,91.09210729591108,599,0,401
74,91.42456024224651,599,0,401
74,91.75701318858195,599,0,401
74,92.0894661349174,599,0,401
74,92.42191908125284,599,0,401
74,92.75437202758827,599,0,401
74,93.08682497392373,599,0,401
74,93.41927792025916,599,0,401
74,93.75173086659461,599,0,401
74,94.08418381293005,599,0,401
74,94.41663675926549,599,0,401
74,94.74908970560094,599,0,401
74,95.08154265193637,599,0,401
74,95.41399559827181,599,0,401
74,95.74644854460726,599,0,401
74,96.0789014909427,599,0,401
74,96.41135443727813,599,0,401
74,96.74380738361359,599,0,401
74,97.07626032994902,599,0,401
74,97.40871327628447,599,0,401
74,97.74116622261991,599,0,401
74,98.07361916895535,599,0,401
74,98.4060721152908,599,0,401
74,98.73852506162623,599,0,401
74,99.07097800796167,599,0,401
74,99.40343095429712,599,0,401
74,99.73588390063256,599,0,401
74,100.06833684696801,599,0,401
74,100.40078979330345,599,0,401
74,100.73324273963888,599,0,401
74,101.06569568597433,599,0,401
74,101.39814863230977,599,0,401
74,101.7306015786452,599,0,401
74,102.06305452498066,599,0,401
74,102.3955074713161,599,0,401
74,102.72796041765153,599,0,401
74,103.06041336398698,599,0,401
74,103.39286631032242,599,0,401
74,103.72531925665787,599,0,401
74,104.0577722029933,599,0,401
74,104.39022514932874,599,0,401
74,104.7226780956642,599,0,401
74,105.05513104199963,599,0,401
74,105.38758398833507,599,0,401
74,105.72003693467052,599,0,401
74,106.05248988100595,599,0,401
74,106.3849428273414,599,0,401
74,106.71739577367684,599,0,401
74,107.04984872001228,599,0,401
74,107.38230166634773,599,0,401
74,107.71475461268317,599,0,401
74,108.0472075590186,599,0,401
74,108.37966050535405,599,0,401
74,108.71211345168949,599,0,401
74,109.04456639802493,599,0,401
74,109.37701934436038,599,0,401
74,109.70947229069581,599,0,401
74,110.04192523703126,599,0,401
74,110.3743781833667,599,0,401
74,110.70683112970214,599,0,401
74,111.03928407603759,599,0,401
74,111.37173702237303,599,0,401
74,111.70418996870846,599,0,401
74,112.03664291504391,599,0,401
74,112.36909586137935,599,0,401
74,112.70154880771479,599,0,401
74,113.03400175405024,599,0,401
74,113.36645470038567,599,0,401
74,113.69890764672112,599,0,401
74,114.03136059305656,599,0,401
74,114.363813539392,599,0,401
74,114.69626648572745,599,0,401
74,115.02871943206289,599,0,401
74,115.36117237839832,599,0,401
74,115.69362532473377,599,0,401
74,116.02607827106921,599,0,401
74,116.35853121740466,599,0,401
74,116.6909841637401,599,0,401
74,117.02343711007553,599,0,401
74,117.35589005641098,599,0,401
74,117.68834300274642,599,0,401
74,118.02079594908186,599,0,401
74,118.35324889541731,599,0,401
74,118.68570184175275,599,0,401
74,119.01815478808818,599,0,401
74,119.35060773442363,599,0,401
74,119.68306068075907,599,0,401
74,120.01551362709452,599,0,401
74,120.34796657342996,599,0,401
74,120.6804195197654,599,0,401
74,121.01287246610084,599,0,401
74,121.34532541243628,599,0,401
74,121.67777835877172,599,0,401
74,122.01023130510717,599,0,401
74,122.3426842514426,599,0,401
74,122.67513719777804,599,0,401
74,123.0075901441135,599,0,401
74,123.34004309044893,599,0,401
74,123.67249603678438,599,0,401
74,124.00494898311982,599,0,401
74,124.33740192945525,599,0,401
74,124.6698548757907,599,0,401
74,125.00230782212614,599,0,401
74,125.33476076846158,599,0,401
74,125.66721371479703,599,0,401
74,125.99966666113247,599,0,401
74,126.33211960746792,599,0,401
74,126.66457255380335,599,0,401
74,126.99702550013879,599,0,401
74,127.32947844647424,599,0,401
74,127.66193139280968,599,0,401
74,127.99438433914511,599,0,401
74,128.32683728548056,599,0,401
74,128.65929023181602,599,0,401
74,128.99174317815144,599,0,401
74,129.3241961244869,599,0,401
74,129.65664907082234,599,0,401
74,129.98910201715776,599,0,401
74,130.3215549634932,599,0,401
74,130.65400790982866,599,0,401
74,130.9864608561641,599,0,401
74,131.31891380249954,599,0,401
74,131.651366748835,599,0,401
74,131.9838196951704,599,0,401
74,132.31627264150586,599,0,401
74,132.6487255878413,599,0,401
75,0.0,599,1,400
75,0.33245294633544187,599,1,400
75,0.6649058926708837,599,1,400
75,0.9973588390063256,599,1,400
75,1.3298117853417675,599,1,400
75,1.6622647316772095,599,1,400
75,1.9947176780126512,599,1,400
75,2.327170624348093,599,1,400
75,2.659623570683535,599,1,400
75,2.992076517018977,599,1,400
75,3.324529463354419,599,1,400
75,3.6569824096898604,598,2,400
75,3.9894353560253024,598,2,400
75,4.321888302360744,597,2,401
75,4.654341248696186,596,3,401
75,4.986794195031628,595,3,402
75,5.31924714136707,595,3,402
75,5.651700087702512,595,3,402
75,5.984153034037954,594,3,403
75,6.316605980373396,592,4,404
75,6.649058926708838,592,4,404
75,6.981511873044279,592,4,404
75,7.313964819379721,590,6,404
75,7.646417765715163,590,6,404
75,7.978870712050605,590,6,404
75,8.311323658386046,589,6,405
75,8.643776604721488,589,6,405
75,8.97622955105693,589,6,405
75,9.308682497392372,589,5,406
75,9.641135443727814,589,4,407
75,9.973588390063256,588,5,407
75,10.306041336398698,588,5,407
75,10.63849428273414,588,5,407
75,10.970947229069582,588,5,407
75,11.303400175405024,588,4,408
75,11.635853121740466,588,4,408
75,11.968306068075908,588,4,408
75,12.30075901441135,588,4,408
75,12.633211960746792,587,5,408
75,12.965664907082234,586,6,408
75,13.298117853417676,585,6,409
75,13.630570799753116,585,6,409
75,13.963023746088558,584,7,409
75,14.295476692424,584,6,410
75,14.627929638759442,583,7,410
75,14.960382585094884,582,7,411
75,15.292835531430326,581,5,414
75,15.625288477765768,581,5,414
75,15.95774142410121,581,3,416
75,16.29019437043665,581,3,416
75,16.622647316772092,580,3,417
75,16.955100263107536,579,4,417
75,17.287553209442976,579,3,418
75,17.62000615577842,578,4,418
75,17.95245910211386,577,5,418
75,18.284912048449304,577,5,418
75,18.617364994784744,577,4,419
75,18.949817941120187,577,4,419
75,19.282270887455628,577,4,419
75,19.61472383379107,576,5,419
75,19.94717678012651,576,4,420
75,20.279629726461955,576,4,420
75,20.612082672797396,575,5,420
75,20.94453561913284,574,5,421
75,21.27698856546828,574,5,421
75,21.60944151180372,574,5,421
75,21.941894458139164,572,7,421
75,22.274347404474604,571,5,424
75,22.606800350810047,570,6,424
75,22.939253297145488,568,8,424
75,23.27170624348093,568,5,427
75,23.60415918981637,568,4,428
75,23.936612136151815,568,4,428
75,24.269065082487256,568,4,428
75,24.6015180288227,568,3,429
75,24.93397097515814,567,3,430
75,25.266423921493583,567,3,430
