rep,t,S,I,R
98,26.400000000000002,2366,2087,5547
98,26.6,2327,2049,5624
98,26.8,2288,2002,5710
98,27.0,2247,1969,5784
98,27.200000000000003,2207,1915,5878
98,27.400000000000002,2168,1873,5959
98,27.6,2132,1823,6045
98,27.8,2092,1814,6094
98,28.0,2053,1781,6166
98,28.200000000000003,2008,1746,6246
98,28.400000000000002,1971,1703,6326
98,28.6,1931,1692,6377
98,28.8,1897,1652,6451
98,29.0,1857,1628,6515
98,29.200000000000003,1825,1601,6574
98,29.400000000000002,1802,1569,6629
98,29.6,1777,1529,6694
98,29.8,1745,1498,6757
98,30.0,1722,1458,6820
98,30.200000000000003,1696,1433,6871
98,30.400000000000002,1677,1388,6935
98,30.6,1654,1349,6997
98,30.8,1619,1340,7041
98,31.0,1603,1308,7089
98,31.200000000000003,1581,1284,7135
98,31.400000000000002,1563,1253,7184
98,31.6,1535,1227,7238
98,31.8,1520,1201,7279
98,32.0,1500,1173,7327
98,32.2,1484,1148,7368
98,32.4,1468,1117,7415
98,32.6,1456,1085,7459
98,32.800000000000004,1442,1052,7506
98,33.0,1430,1031,7539
98,33.2,1412,1003,7585
98,33.4,1404,970,7626
98,33.6,1384,955,7661
98,33.800000000000004,1369,924,7707
98,34.0,1353,900,7747
98,34.2,1342,874,7784
98,34.4,1336,846,7818
98,34.6,1324,840,7836
98,34.800000000000004,1310,811,7879
98,35.0,1303,783,7914
98,35.2,1295,762,7943
98,35.4,1288,736,7976
98,35.6,1282,713,8005
98,35.800000000000004,1274,696,8030
98,36.0,1266,681,8053
98,36.2,1258,658,8084
98,36.4,1250,637,8113
98,36.6,1245,615,8140
98,36.800000000000004,1242,597,8161
98,37.0,1232,573,8195
98,37.2,1224,561,8215
98,37.4,1217,548,8235
98,37.6,1211,534,8255
98,37.800000000000004,1198,534,8268
98,38.0,1188,525,8287
98,38.2,1183,502,8315
98,38.400000000000006,1171,499,8330
98,38.6,1167,485,8348
98,38.800000000000004,1157,476,8367
98,39.0,1155,463,8382
98,39.2,1147,451,8402
98,39.400000000000006,1142,435,8423
98,39.6,1139,427,8434
98,39.800000000000004,1134,416,8450
98,40.0,1132,400,8468
98,40.2,1125,388,8487
98,40.400000000000006,1121,377,8502
98,40.6,1116,362,8522
